iter,focus,z,best_z,improved,skipped,lb,epsilon,mode,roles,vns_type,z_before,z_cand,best_z_after,LB_0,LB_mode,gap_mode,accepted_type,iter_runtime_sec,subtask_count,avg_sku_per_subtask,max_sku_per_subtask,station_idle_total,station_utilization_mean,station_load_max,station_load_std,station_load_max_ratio,hit_stack_count,noise_ratio,avg_stack_span,sorting_cost_proxy,robot_path_length_total,robot_utilization_mean,latest_robot_finish,robot_finish_ratio,arrival_slack_mean,global_makespan,UB
0,init,463.0,463.0,True,False,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M_X,389.0,389.0,True,False,218.0,0.05,M_X,"{'X': 'Active', 'Y': 'Anchored', 'B': 'Anchored', 'R': 'Frozen'}",Full,463.0,389.0,389.0,380.0,218.0,0.5291576673866091,strong,44.03322179999668,6.0,5.833333333333333,7.0,423.0,0.442159383033419,9.0,1.5,1.2,15.0,0.2777777777777778,5.0,20.0,634.0,0.05398457583547557,327.0,0.8406169665809768,28.333333333333332,389.0,463.0
2,M_X,382.0,382.0,True,False,211.0,0.05,M_X,"{'X': 'Active', 'Y': 'Anchored', 'B': 'Anchored', 'R': 'Frozen'}",Full,389.0,382.0,382.0,327.0,211.0,0.45758354755784064,strong,44.64032569999108,6.0,5.833333333333333,7.0,251.0,0.4424083769633508,10.0,3.5,1.5384615384615385,13.0,0.21212121212121213,6.0,14.0,462.0,0.06282722513089005,290.0,0.7591623036649214,23.615384615384617,382.0,389.0
3,M_X,362.0,362.0,True,False,211.0,0.05,M_X,"{'X': 'Active', 'Y': 'Anchored', 'B': 'Anchored', 'R': 'Frozen'}",Full,382.0,362.0,362.0,290.0,211.0,0.4476439790575916,strong,46.97641520004254,5.0,7.0,8.0,217.0,0.46685082872928174,10.0,4.0,1.6666666666666667,12.0,0.21212121212121213,6.0,14.0,454.0,0.06629834254143646,296.0,0.8176795580110497,16.5,362.0,382.0
4,M_X,362.0,362.0,False,False,211.0,0.05,M_X,"{'X': 'Active', 'Y': 'Anchored', 'B': 'Anchored', 'R': 'Frozen'}",Full,362.0,362.0,362.0,296.0,211.0,0.4171270718232044,reject,42.95864409999922,5.0,7.0,8.0,217.0,0.46685082872928174,10.0,4.0,1.6666666666666667,12.0,0.21212121212121213,6.0,14.0,454.0,0.06629834254143646,296.0,0.8176795580110497,16.5,362.0,362.0
5,M_X,362.0,362.0,False,False,211.0,0.05,M_X,"{'X': 'Active', 'Y': 'Anchored', 'B': 'Anchored', 'R': 'Frozen'}",Full,362.0,362.0,362.0,296.0,211.0,0.4171270718232044,reject,38.54651740001282,5.0,7.0,8.0,217.0,0.46685082872928174,10.0,4.0,1.6666666666666667,12.0,0.21212121212121213,6.0,14.0,454.0,0.06629834254143646,296.0,0.8176795580110497,16.5,362.0,362.0
6,M_X,349.0,349.0,True,False,211.0,0.05,M_X,"{'X': 'Active', 'Y': 'Anchored', 'B': 'Anchored', 'R': 'Frozen'}",Full,362.0,349.0,349.0,296.0,211.0,0.4171270718232044,strong,38.65777150000213,6.0,5.833333333333333,8.0,243.0,0.49283667621776506,10.0,3.0,1.4285714285714286,14.0,0.30303030303030304,4.6,20.0,468.0,0.055873925501432664,262.0,0.7507163323782235,37.142857142857146,349.0,362.0
7,M_X,349.0,349.0,False,False,214.0,0.05,M_X,"{'X': 'Active', 'Y': 'Anchored', 'B': 'Anchored', 'R': 'Frozen'}",Full,349.0,349.0,349.0,262.0,214.0,0.3868194842406877,reject,43.84714460000396,6.0,5.833333333333333,8.0,243.0,0.49283667621776506,10.0,3.0,1.4285714285714286,14.0,0.30303030303030304,4.6,20.0,468.0,0.055873925501432664,262.0,0.7507163323782235,37.142857142857146,349.0,349.0
8,M_X,341.0,341.0,True,False,214.0,0.05,M_X,"{'X': 'Active', 'Y': 'Anchored', 'B': 'Anchored', 'R': 'Frozen'}",Full,349.0,341.0,341.0,262.0,214.0,0.3868194842406877,strong,42.82060440001078,7.0,5.0,7.0,332.0,0.5073313782991202,9.0,2.0,1.2857142857142858,14.0,0.3142857142857143,5.0,22.0,574.0,0.05571847507331378,278.0,0.8152492668621701,41.42857142857143,341.0,349.0
9,M_X,338.0,338.0,True,False,214.0,0.05,M_X,"{'X': 'Active', 'Y': 'Anchored', 'B': 'Anchored', 'R': 'Frozen'}",Full,341.0,338.0,338.0,278.0,214.0,0.3724340175953079,strong,41.20326760003809,7.0,5.0,8.0,310.0,0.5088757396449705,9.0,2.0,1.2857142857142858,14.0,0.30303030303030304,4.6,20.0,536.0,0.057692307692307696,258.0,0.7633136094674556,34.0,338.0,341.0
10,M_X,338.0,338.0,False,False,214.0,0.05,M_X,"{'X': 'Active', 'Y': 'Anchored', 'B': 'Anchored', 'R': 'Frozen'}",Full,338.0,338.0,338.0,258.0,214.0,0.3668639053254438,reject,46.895499199978076,7.0,5.0,8.0,310.0,0.5088757396449705,9.0,2.0,1.2857142857142858,14.0,0.30303030303030304,4.6,20.0,536.0,0.057692307692307696,258.0,0.7633136094674556,34.0,338.0,338.0
